0,1,2,3
HUL - HINDUSTAN UNILVER LIMITED (GOLD SPONSOR),Mumbai,022 3983 0000,Mr. Akhilesh Yadav
HYGEIA WELLNESS PVT. LTD.,New Delhi,NA,Mr. Amit Kumar
INDIAN FOODTECH LTD,New Delhi,011-27948041,Mr. Ashok Ruhil
INDIFOSS ANALYTICAL PRIVATE LIMITED,Ahmedabad,079-4005 4705 / 4005 4706,Mr. Satish Mohite
ITC LIMITED,Kolkata,033-22889371,Mr. Nazeeb Arif
JADLI FOODS INDIA PVT. LTD.,New Delhi,011-27555462,Mr. R.N. Jadli
JHANIL HEALTHCARE,Sunam,01676-220855,Mr. Vakul Garg
JIVRAJ TEA LIMITED,Surat,0261-2500999,Mr. Prashant Indalkar
KANWAL FOODS & SPICES PVT. LTD.,Srinagar,01942-433628,Mr. Abid Gulzar
KARACHI INC,Rangareddy,NA,Mr. Sachin Gir
KEJRIWAL BEE CARE INDIA (PVT) LTD,New Delhi,011-29219677-78,Mr. Sunil Kumar
KEVENTER AGRO LIMITED,Kolkata,0124-4947200,Mr. Surbhit Lihala
KIRLOSKAR PNEUMATIC COMPANY LIMITED,Pune,02115-222403,Mr. Satyam Kumar Alok
KIRTI FOODS PVT. LTD.,Mahuva,NA,Mr. Damji Vauya
KOTTARAM AGRO FOODS PRIVATE LIMITED,Bangalore,080-40949390,Mr. Raghavendra Jha
LAKSHYA FOOD INDIA LIMITED,Jind,01681-237550,Mr. Vivek Singla
LLOYDS REGISTER QUALITY ASSURRANCE LTD.,Mumbai,022 - 42603418,Mr. P Banerjee
LMJ INTERNATIONAL,Panipat,NA,Mr. K.A. James
LOTTE INDIA CORPORATION LIMITED,Chennai,044-45458881,Mr. R. Sridharan
MAHAKALI FOODS PVT. LTD.,Indore,0731-2591801,Mr. Sandeep Singh
MANGAL INDUSTRIES LIMITED - GALLA FOODS DIVISION,Chittoor,NA,Mr. Pavan Kumar DC
METTLER-TOLEDO INDIA PVT. LTD.,Mumbai,022-42910111,Mr. Navpreet Singh Marwaha
MINISTRY OF TOURISM,New Delhi,011-23321380,Mr. Manas Ranjan Pattanaik
MITHILA CONSUMER GOODS PVT. LTD.,Faridabad,NA,Ms. Priti Anand
MONDELEZ INDIA FOODS PRIVATE LIMITED (SILVER SPONSOR),Mumbai,022- 33963100,Ms. Garima Singh
MOTHER DAIRY FRUIT & VEGETABLE PVT LTD,Noida,0120-4399500,Mr. Sumit Chandoke
MPEDA,New Delhi,011-41400527,Mr. Sunil Kumar U
MRT ORGANIC GREEN PRODUCTS,Cochin,0484-2632991,Mr. Mahi Balan
MTR FOOD PVT. LTD.,Bengaluru,080-40812100,Ms. Nishita Banerjee
NATIONAL DAIRY DEVELOPMENT BOARD,Anand,02692-264675,Mr. Harshendra Singh
NATURAL DEHYDRATED VEGETABLES (P) LTD GUJARAT,New Delhi,"9310066665, 9560918661",Mr. Subhash Ghosh
NEKKANTI SEA FOODS LIMITED (LANYARD SPONSOR),Visakhapatnam,NA,Ms. Anila Narla
NEOGEN FOOD AND ANIMAL SECURITY (INDIA) PVT. LTD.,Kochi,0484 2306598,Dr. Mrunal Kumar Sharma
NESTLE (PALTINUM SPONSOR),New Delhi,,
NUTRICANE BEVERAGES PVT. LTD.,New Delhi,011-49401951/52,Mr. Atul Arora
ONECERT ASIA AGRI CERTIFICATION PVT. LTD.,Jaipur,0141-2395481,Mr. Dheeraj Sharma
ONEHUB CHENNAI,Chennai,044 4225 6000,Mr. Anup M
PANASONIC APPLIANCES INDIA COMPANY LIMITED,Chennai,044-22258701-05,Mr. Vishal Kakkar
PANSARI INDUSTRIES,New Delhi,NA,Mr. Santosh Mishra
PATANJALI FOOD & HERBAL PARK (GOLD SPONSOR),Haridwar,01334 265 370,Ms. Preeti
PEPSICO INDIA HOLDINGS PVT. LTD. (GOLD SPONSOR),Sonipat,NA,Ms. Nilima Dhavala
PEST CONTROL M. WALSHE,Mumbai,022-22850615 / 16,Mr. Navreet S. Pruthi
PRABHAT DAIRY LIMITED (SILVER SPONSOR),Navi Mumbai,022-41287700,Ms. Jyothika Kotiyan
PRESTINE MEGA FOOD PARK PVT. LTD.,New Delhi,011-47235800,Mr. Amit Pandey
R.R. ENTERPRISES,Kullu,01902-265134,Mr. Varun Ghai
RAAGA MYURI MEGA FOOD PARK,Hyderabad,NA,Mr. Bhanu Prathap
RANA FROZEN FOODS,Rorkee,NA,Mr. Vikram Rana
RANA MACHINES INDIA PVT. LTD.,Ambala,0171-2679030,Mr. Kuldip Rana
RAPID ORGANIC PVT. LTD.,Sanchore,02979 285734,Mr. Prithvi Pal Singh
RASNA PVT. LTD.,Ahmedabad,079-26449603,Mr. Krunal Shukria
RAW PRESSERY,Mumbai,022-49263324,Mr. Aditya Pattanath
RINAC INDIA LTD,New Delhi,011-26346590/91,Mr. Vijay Singh
SALT RANGE FOODS PVT. LTD.,New Delhi,011-28111633,Mr. Gagandeep Singh Kohli
SATHGURU MANAGEMENT CONSULTANTS PRIVATE LIMITED,Hyderabad,040-66276200,Mr. Sriram C Manyam
SATTVIKO RAYS CULINARY DELIGHTS PVT. LTD.,New Delhi,NA,Mr. Sumeet Chilwal
SAURABH ENGINEERS,Ahmedabad,079-22911288/22910428,Mr. Dipak Trivedi
SHAH NANJI NAGSI EXPORTS PVT. LTD.,Nagpur,0712-6685999,Ms. Snehal Modi
SHRI SURAKSHA BIO SCIENCES,Hyderabad,NA,Mr. Arun Saxena
SIMHA GLOBAL,Karur,NA,Ms. S. Iswaryalakshmi
SIROHI AGRO FOODS PVT. LTD.,Greater Noida,0120-6548999,Mr. Bhaskar Anand
SKM EGG PRODUCT & EXPORT (INDIA) LIMITED,Erode,0424-2351532,Mr. V.V. Krishnan
SM CONSUMERS,Palasbari,0361-2738911/12,Mr. Rimjhim Somani
SMART AGRO FOOD PARK PVT. LTD.,Hyderabad,040-23357474,Mr. Siva Reddy
LOTUS CHOCOLATE (SILVER SPONSORSHIP),Dharwad,,Mr. Manjunath Bhatt
SPICE BOARD,Kochi,0484-2333610,Mr. Prathyush TP
Sresta Natural Bioproducts Pvt. Ltd. ( 24 Mantra Organic ),Hyderabad,"040-40072526, 9811500176",Mr. Himanshu Garg
SRG ORGANICS FOODS INDIA PVT. LTD.,Chennai,91 98400 92637,R KARTHIKEYAN
SRI CITY PVT LTD,Chennai,044-3940200,Mr. Chandrasekhar Ch
STERLING AGRO,New Delhi,011-47008000,Mr. Vidya Sagar
SURYA FOOD & AGRO LTD. - PRIYAGOLD,Noida,0120-2522939,Mr. Praveen Kumar
SWASTIK AGRO PRODUCTS,Kalanwali,01696-222444,Mr. Sahil Arora
SWISS PAC PVT. LTD.,Vadodara,02662-244057158,Mr. Bhargav Soni
SYMEC ENGINEERS (INDIA) PVT. LTD.,Navi Mumbai,022-65131021/22,Mr. Arjun Vas
TASTE'L FINE FOOD PVT. LTD.,Mumbai,022-42080050,Mr. Vinod Nair
TATA CHEMICALS LIMITED,Mumbai,022-66657833,Mr. Zareer Gotla
TATA GLOBAL BEVERAGES LIMITED,New Delhi,022-61218400,Ms. Apoorva Goel
TEACOURT PVT. LTD.,Kolkata,011-26931807,Mr. Arjun Batra
"TEMI TEA ESTATE, GOVERNMENT OF SIKKIM",Temi,0359 2261703,Ms. Sonia Mukherjee
TETRA PAK INDIA PVT. LTD. (GOLD SPONSOR),Gurgaon,0124 412 4600,Mr. Nupur Sachdeva
THAKARSHI TEA PROCESSORS & PACKERS PVT. LTD.,Gondal,02825-221341,Mr. Vijay M. Mundia
THE SUKHJIT STARCH & CHEMICAL LTD.,Phagwara,01824-468800,Mr. Aman Setia
TIRUPATI BALAJI AGRO PRODUCTS,Pune,02112-283129,Mr. V. Subramanian
TRENT HYPER MARKET PVT. LTD.,Mumbai,NA,Ms. Elina Mohanty
TULIP INN GREEN CASTLE HOTEL,Mussoorie,0135-2630987,Mr. Shivash Chagti
TUV SUD SOUTH ASIA,Pune,020-66841212,Mr. Karan Kurup
UK INDIA BUSINESS COUNCIL INDIA PVT. LTD.,Gurgaon,NA,Mr. Benz Thomas
USHODAYA ENTERPRISES PVT. LTD.,Hyderabad,040-23318181,Mr. K. Chandrasekhar
V.P.S.A NARAYANA NADAR AND COMPANY,Theni,04546-252359,Mr. N. Suriyanarayanan
VAISHVIK FOODS PVT. LTD.,Pune,020-24391881,Ms. Sadhana Ganesh Kokate
VIKRAM AGRO INDUSTRIES,Jaipur,0141-2311776,Mr. Mohit Garg
VIMTA LABS LIMITED,Hyderabad,040-67404040,Mr. Manojit Pal
VISNUKUMAR TRADERS PVT. LTD.,Chennai,044-65715715,Mr. G. Venkatsubramanyan (Mani)
WAHAL ENGINEERS,New Delhi,011-27821785,Ms. Sunita Wahal
WESTERN HILLS FOOD PVT. LTD.,Pune,020-4067478,Mr. Parag Hande
WHOLESOME FOODS,Ahmedabad,079-0323356,Mr. Jeet Hirpara
ZEA MAIZE PVT. LTD.,Sonipat,NA,Mr. Deepak Tiwari
ZIPPY EDIBLE PRODUCTS PVT. LTD.,Jaspur,05947-220224,Mr. Siddhartha Singhal
ITALY - FOCUS COUNTRY,Mumbai,022 22821214 / 1125,
MOHAN OIL MILLS,Faridabad,0129-2435266,Mr. Dalip Kewalramani
FOOD BUDDIES,Chennai,044 - 42852258,Mr. Dinesh Kumar
KILARU NATURALS PRIVATE LIMITED,Hyderabad,040-30627879,Mr. Vijendra Kumar
KAILASH PARVAT FOODS,Coimbatore,9003117864,Ms. Saranya
PANICLE FOOD PRIVATE LIMITED,New Delhi, 011-49055243,Mr. Ashwani Kumar Thakur
B.D. AGRO FOODS,Kapurthala,0181-5085040,Mr. Deepak Kumar
DMICDC (DELHI MUMBAI INDUSTRIAL CORRIDOR DEVELOPMENT CORP. LTD.),New Delhi,011-26118884-8,Mr. Rajat Saxena
KRAFT HEINZ (SILVER SPONSOR),Mumbai,022 4008 5555,Ms. Yasmin Bhadha
IRIIS TRADING HOUSE LLP,Faridabad,0129-4340714,Mr. Rahul Singh Khushwah
FANIDHAR MEGA FOOD PARK PVT. LTD.,Ahmedabad,079-40306965,Mr. Ashok Dhranga
BLUE STAR LTD.,Mumbai,022-66544000,Mr. Goldy Goel
V.R. INDUSTRIES (P) LTD.,Gurgaon,0124-4577000,Mr. Kush Lakhanpal
NUTRIVITA FOODS,Pune,+91 2113 305 599,Mr. Olivier Petit
KELLOGG (SILVER SPONSOR),,,Mr. Parna Dasgupta
CRAGIL (GOLD SPONSOR),,,Mr. Pankaj Mahajan
EMBASSY OF TUNISIA,New Delhi,,Mr. Jamel Boujdaria
SPAIN,New Delhi,011-4358 7912-19,Mr. Paloma Sanchez Lucas
NCT OF DELHI,New Delhi,011-22157037,
PARAG MILK FOODS LTD.,Mumbai,022-43005555,Mr. Sanjeev Jain
SHREY NUTRACEUTICALS & HERBALS PVT. LTD.,New Delhi,NA,Mr. Bhupinder Kamboj
Bizdev,Vecchiano,0039 3358132815,
Italian Embassy New Delhi,New Delhi,011 - 26114355,Elettra Verrone
LAVAZZA,Chennai,1800-425-3330,
Indo-Italian Chamber of Commerce And Industry,Mumbai,022 6772 8186 â 90,
"Titus & Co., Advocates",New Delhi,011-26470700,
Ferrero India,Pune,0120-66804000,Mr. Inder Chopra
SRINI FOOD PARK PVT. LTD.,Hyderabad,"040-23118338, 8008400162",Mr. Pranati Mallik
KIARO FOODS INDIA PVT. LTD.,Hyderabad,7042190404,Mr. Mallikarjun Reddy
BEEHIVE FARMS PRIVATE LIMITED,Ludhiana,0161-4666012,Ms. Navjot Kaur
SOUTHERN FERRO STEELS LTD.- LOTUS CHOCOLATE (SILVER SPONSORSHIP),Dharwad,,Mr. Manjunath Bhatt
MARICO LIMITED,Mumbai,022-66480480,Mr. Avtej Sawhney
AGILENT TECHNOLOGIES,New Delhi,,Mr. Rohit Shinde
RERURGENT INDIA LIMITED,Gurgaon,0124-4754550,Mr. Ishan Jain
BHUIRA JAMS PRIVATE LIMITED,Sirmour,0704 2944668,Ms. Rebecca Mushran
AMWAY INDIA ENTERPRISES PRIVATE LIMITED (DIAMOND SPONSOR),Gurugram,,Mr. Abhinav Srivastava
SOLITAIRE DRUGS PHARMA PVT. LTD.,New Delhi,011-47501660,Mr. Ranjna Gogiya
PROGILENCE CAPABILITY DEVELOPMENT PVT. LTD.,Gurgaon,0124-4147164-65,Mr. Vikal Samdariya
SHREEJI PROTEIN,Mahuva,02844-223935,02844-223935
PATSON FOODS INDIA PVT. LTD.,Navsari,02637 650854,Mr. Nilesh Dharajia
METRO CASH & CARRY INDIA PVT. LTD,Bangalore,1860-266-2010,Mr. Gaurav Kumar
TUV RHEINLAND INDIA,Gurgaon,,Mr. Akshay Bhalla
BRIJ HONEY PRIVATE LIMITED,Bharatpur,9549652511,Mr. Vinit Singh
GLOBOZOR INTERNATIONAL TRADE PVT. LTD.,Mumbai,+9122 4924 0040,Mr. Arch Bavishi
FEDERATION OF CORRUGATED BOX MANUFACTURERS OF INDIA,Mumbai,022-28500687/4523,Mr. Milan Kumar Dey
MEHROTRA CONSUMER PRODUCTS PVT. LTD.,Greater Noida,0120-4260545,Mrs. Kriti Mehrotra
DEFENCE FOOD RESEARCH LABORATORY - DRDO,Mysore,0821-2473783,Dr. A.D. Semwal
Y COOK INDIA PVT. LTD.,Bangalore,080-40903663,Ms. Gayathri Swahar
JABSONS FOODS,Bharuch,02642-228255,Mr. Maulik Joshi
RAM LAL RAM CHANDRA INDIA LIMITED,Ghaziabad,9971329907,Mr. Mohd. Imran
GEN NEXT FOODS AND HOSPITALITY PVT. LTD.,Mumbai,022-28598597,Ms. Dipali J Mehta
PROFLEX SYSTEMS,Ahmedabad,,Mr. Parin Shah
"TAIWAN - TAIPEI WORLD TRADE CENTRE, MUMBAI",Mumbai,022-22163074-77,Ms. Harjeet Kaur
VAPZA FOOD (BRAZIL),Curitiba,,
HIMALYAN SPRING,Solan,9711237686,Mr. Ravi Singh
CG Reiber Compact A/S,Gurgaon,+91 1244721700,
L'OPÃRA,New Delhi,+91 12 040 66888,Lokesh Anand
ITA-Italian Trade Agency,Mumbai,0091 22 22821214 / 1125,Leenol Pereira
CBC CORPORATION(INDIA)PVT.LTD,"Krishanlal Marwah Marg,",+91-22-2857-9798,SHIGEKI SUGAHARA
Fuji / å¨å£« Japanese Restaurant - Delhi ã,Delhi,91 8375093891,
Indo Nissin Foods Private Limited,Bangalore,+91-80-4355-4000,Shigeo Irie
Japanese Standard Processing Pvt. Ltd.,Gurgaon,+91-124-474-8200,Vikas Tandon
NISHINO SOLUTIONS LLP,Gurgaon,+91-92051-09307,Shoichiro Adachi
TIPPLE CASA PRIVATE LIMITED,NEW DELHI,9560571075,SANJEEV CHOUDHARY
Japan External Trade Organization,Delhi,011-4000-6900,Mr. Soichi Umeki
Yakult Danone India Pvt Ltd,Delhi,011-40626262/ 9953581230,Amitabh Chaturvedi
Economic and Commercial Office of the Embassy of Spain in New Delhi,New Delhi,(+91) 11 4358 7912-19,Paloma SÃ¡nchez Lucas
TagTaste Foods Pvt. Ltd.,New Delhi,0091 9958657225,
Bosch Ltd,Verna,0832-6692042,Gauri Naik
Covestro (India) Private Limited,Thane,022-2586176,Chintan Joshi
KONVEKTA REFRIGERATION INDIA PVT. LTD,MUMBAI,0091 22 40152288,KAMALAKSHA NAIK
Dr. Oetker India Pvt. Ltd.,New Delhi,"91-11-45177177, 41664685 (or -86)",Amit Koul
Solidaridad Network Asia Ltd.,New Delhi,9873588859,Rajesh Bhatia
SUBHASH MASALA,New Delhi,"011-43103756, 9818160680, 9818160680",Mr. Kalam Jain
OIRLETT,Vdiyampeta,"9293725235, 9393725235",Mr. P. Jeevan Prasanth
VEZLEY FOODS PRIVATE LIMITED,New Delhi,"011-64642757 / 58, 8826990069",Mr. Munish Sharma
INDIA PULSES AND GRAIN ASSOCIATION,Mumbai,"022- 2647 9132/33, 9820267858",Mr. Pradeep Ghorpade
CICU,Ludhiana,"0161 253 0551, 9815800622",Mr. Upkar Singh Ahuja
SAVEER BIOTECH LIMITED,New Delhi,"011-24622889, 8860621164",Mr. Ajay Beyyala
WINDSOR CHOCOLATIER,Gurugram,"0124 - 4323970, 9999811911",Mr. Arvind Kapoor
DIVYADEEP SUGAR AND AGRO INDUSTRIES PVT. LTD.,New Delhi,"07162 232552, 9425147315",Mr. Hariom Juneja
DISCOVERY NUTRITION,New Delhi,"011-45521876, 9910687333",Mr. Harish Dua
CLASSIC INDUSTRIES,Faridabad,"0129-4022777, 9810291750",Mr. Rajesh Khatter
HSIL LIMITED PPD AGI-GLASPAC,Hyderabad,"040-23831771, 9886535353, 9849524080",Mr .A. Shesh Raj
ADEPTA (France),Paris,+33 01 44 18 08 88,Ms. Racheline Levi
AXEREAL,GURGAON,+91 98 21 11 70 42  ,Christophe JACQUET
BLEZAT,PARIS,00 33 6 89 77 46 55,Adrien LOONES
CLAUGER,BRIGNAIS,00 33 6 14 15 77 99,Aymeric COLOMBAT
FEMIA,Nanterre Cedex,00 33 6 31 47 21 10,GILBERT LE FOLL
GNIS (NATIONAL ORGANIZATION FOR THE SEED SECTOR),PARIS,00 33 6 64 57 71 51,Marine BENG-THI
LACTALIS INDIA,CHENNAI,+91 9962985293,Samay BHARDWAJ
MCA PROCESS,Levallois-Perret,33 (0)2 98 52 77 00,Lucy VINTENAT
MJA AGENCY,New Delhi,(+91 11) 64 63 44 05/06,MichÃ¨le JANEZIC
MONIN,Bourges,+33 6 50 14 30 78,Giles Pickles
LâOPERA,New Delhi,+91 12 040 66888,Lokesh Anand
ROQUETTE,Mumbai,91 022-42301500  / 25706775,K S Ganesan
SERAP INDUSTRIES,,+33 (0)2 43 08 49 49,
SIMON SAS,CHERBOURG OCTEVILLE CEDEX,00 33 2.33.43.09.18,Daniel SCHMIT
SODISTRA,Chateau-Gontier, +33646901475,Claire ROIDOT
SOUFFLET,,,
SYNERLINK,PUISEUX PONTOISE,00 33 1 30 15 29 30,Mariano LOPEZ
Confindustria,Roma,0039 06 59031,Camilla Cionini Visani
Eptalex-Titus&Co Advocates,Milan,0039 33 49 98 64 73,
Federalimentare,ROMA,0039 06 5903534,
FederOlio,Roma,0039 06 5754201,
Federunacoma,Roma,0039 06 432981,Fabio Ricci
Fratelli Carli,Imperia,0039 0183720000,
FRUITSAPP,Rome,,
"GIANNI, ORIGONI, GRIPPO & PARTNERS",Roma,0039 06 478751,
Gruppo Izzo Srl,Anagni,39 0775 77.40.36,
Riela India,Ibbenburen,91-9891720386,Aman Parashar
Amsterdam Trade,Amsterdam,31 651 505 812,Martine Sourbag
Baarsma wine group,Gorredijk,31651915797,Paul Sperna Weiland
FMO Dutch Development Bank,The Hague,31625634989,Ms. Deanne Arends
GEA Refrigeration the Netherlands NV,Hertogenbosch,31651836001,L. Kuijpers
St. GreenPort Noord-Holland Noord,Enkhuizen,31881237777,Ms. Rian van Dam
HAS University of Applied Sciences,Hertogensbosch,31647074222,Marc Pruijssers
J.M. Levarht & Zonen B.V.,,00316 3946 0823,Pepijn de Jong
KeyGene N.V.,Wageningen,31650252447,Dr. Shital Dixit
Kiremko BV,Montfoort,+31654752423,Paul Oosterlaken
Lentiz Education Group,,0031-648579410 and 0091-9711085604,Prekash Ramsingh
Mr.FARMER bv,Heerenveen,31629390260,Gerlof de Boer
NMK Esbaco,,31- 6 53412645,Hans Huibers
Progarica,,6590899966,Matt Earle
RaboBank,Utrecht,31610344147,Wouter van Eijkelenburg
Rijk Zwaan,De Lier,31 174 532 300,Rens Knieriem
Rotterdam Partners,Rotterdam,31 107 900 197,Rene Hanssens
Tak Dry Fruits Company (Afganishtan),Mazar-e-Sharif,,Khoja Hamid
Asif Ghafor Ltd (Afganishtan),Mazar-e-Sharif,,Rasikh
Hashim Husainzada Dry Fruits Company (Afganishtan),Mazar-e-Sharif,,Jaweed Haqjo
Abdullah Zemari Balkhi Ltd (Afganishtan),Mazar-e-Sharif,,Nazar Mohammad
Spanish Business Support,,31625181717,Judith bartels
"Trouw Nutrition, a ~Nutreco Company ( SHV)",,+91-9704273366,Dr. Saurabh Shekhar
"Van Hall Larenstein, University of Applied Sciences",,(058) 284 63 11,Mr. Tjalling Huisman
Taiwan External Trade Development Council (TAITRA) (Taiwan),Taipei,+886-2-2725-5200,
Van Rooi Meat BV,,31 492 779900,Marc van Rooi
"Jia Ho Food Co., Ltd. (Taiwan)",Changhua County,+886-4-8872878,
Plantenkwekerij Van der Lugt BV,,31 6 2959 7222,Mr. Jack Wetzels
Wageningen Food & Biobased Research,,+31 622956504,Kalyan Chakravarthy Guntuboyina
"DA QUN INTERNATIONAL CO., LTD. (Taiwan)",Taipei City,+886-2-2707-0869,
"OU-DEAN FOODS FACTORY CO., LTD. (Taiwan)",Changhua County,+886-4-8922111,
BESTASTE ENTERPRISE CORPORATION (Taiwan),New Taiwan City,+886-2-2995-8222,
WEJOIN Emaax SERIVCE CORP (Taiwan),Taipei,,
NORB INDUSTRIA DE INJETADOS PLASTICOS (BRAZIL),Caxias do Sul,+55(54) 3224-6090,
APS EXPORTACAO E IMPORTACAO (BRAZIL),Anapolis,+55 (62) 3701-1561,
MN PROPOLIS (BRAZIL),Mogi das Cruzes,+55 (11) 4790-4600,
SAMBA INTERNACIONAL (BRAZIL),Curitiba,+55 (41) 3045-7985,
LOOP INDÃSTRIA E COMÃRCIO DE PRODUTOS ALIMENTÃCIOS,Piracicaba,+55 (19) 3402-1121,Mr. Luiz de Oliveira JÃºnior
ONVIT (BRAZIL),Aquiraz,+55 (85) 98828-1019,
